N = 3000
dimX = 3
dimY = 3
dimA1= 1
X1	X2	X3	Y1	Y2	Y3	F1	F2	F3	A11	A12	A13	P11	P12	P13	P21	P22	P23	P31	P32	P33	
-0.25014	-0.38487	0.10771	-0.022755	-0.02615	-0.11211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2507	-0.38621	0.10414	-0.032545	-0.012819	-0.11275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25249	-0.38744	0.10068	-0.028442	-0.0030357	-0.12408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25405	-0.38688	0.09912	-0.020487	0.0081191	-0.14776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25427	-0.3861	0.099008	-0.014494	0.02095	-0.17084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25383	-0.3852	0.097222	-0.0065572	0.027469	-0.18422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25238	-0.38498	0.091529	0.0048684	0.023502	-0.18891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25293	-0.38476	0.084051	0.014789	0.01475	-0.18647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25427	-0.38342	0.078581	0.017324	0.010215	-0.17514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25438	-0.38331	0.076907	0.011064	0.014504	-0.15905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25271	-0.38375	0.07646	0.0014947	0.023092	-0.15051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25081	-0.38442	0.074675	-0.008494	0.030294	-0.15751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25048	-0.3842	0.071103	-0.021235	0.035738	-0.17564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25238	-0.38208	0.066303	-0.03797	0.038648	-0.19001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25494	-0.38007	0.061168	-0.054324	0.038097	-0.19073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25572	-0.37929	0.057485	-0.062793	0.032867	-0.17627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25572	-0.37929	0.05369	-0.059929	0.025114	-0.15428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25651	-0.37973	0.051011	-0.051587	0.021748	-0.13753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2584	-0.3794	0.048109	-0.043999	0.026431	-0.13335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26075	-0.37851	0.046211	-0.035301	0.03841	-0.1354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26142	-0.37784	0.04476	-0.022295	0.052876	-0.13151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26108	-0.37683	0.041858	-0.006786	0.06289	-0.1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26075	-0.37594	0.037728	0.0034309	0.066916	-0.10354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2603	-0.37415	0.03371	0.00010502	0.070306	-0.098997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26041	-0.37181	0.032817	-0.018605	0.079978	-0.10132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26019	-0.37047	0.033821	-0.046551	0.09666	-0.10055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26019	-0.3698	0.033486	-0.07294	0.11288	-0.092187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2613	-0.36868	0.029803	-0.090223	0.12363	-0.081601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26432	-0.36556	0.024445	-0.095592	0.12897	-0.070218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
