N = 3000
dimX = 3
dimY = 3
dimA1= 1
X1	X2	X3	Y1	Y2	Y3	F1	F2	F3	A11	A12	A13	P11	P12	P13	P21	P22	P23	P31	P32	P33	
-0.10358	-0.55766	-0.0056927	-0.19418	0.039963	-0.046398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.10872	-0.5561	-0.0079251	-0.185	0.038286	-0.040562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.11363	-0.55465	-0.0080367	-0.17952	0.032263	-0.039824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.11731	-0.55398	-0.0075902	-0.17996	0.021921	-0.042019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.11955	-0.55375	-0.0081483	-0.18422	0.0092422	-0.047604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.12144	-0.55386	-0.0091529	-0.19243	-0.00057456	-0.058708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.12524	-0.55398	-0.01105	-0.20368	-0.0039592	-0.070218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.13049	-0.5542	-0.012613	-0.21503	-0.0011293	-0.076201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.13607	-0.55453	-0.014064	-0.21732	0.0048354	-0.07656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.14098	-0.55465	-0.015627	-0.20241	0.0099371	-0.074402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.14433	-0.55442	-0.017301	-0.17152	0.012448	-0.07313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.14846	-0.55364	-0.018752	-0.1344	0.013445	-0.073081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.15169	-0.55286	-0.01998	-0.10556	0.016398	-0.075245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.1537	-0.55275	-0.02132	-0.096816	0.02456	-0.079835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.15448	-0.55297	-0.022882	-0.10963	0.038103	-0.078501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.15404	-0.55319	-0.024333	-0.1331	0.053475	-0.058526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.15526	-0.5523	-0.026343	-0.15033	0.0654	-0.017396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.15951	-0.55007	-0.029021	-0.15336	0.071071	0.036562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.16654	-0.54728	-0.030026	-0.14553	0.070782	0.086667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.1719	-0.54516	-0.026677	-0.1306	0.066046	0.11768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.17312	-0.5446	-0.021989	-0.11035	0.061087	0.11868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.17201	-0.54449	-0.015962	-0.089682	0.063231	0.087539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.17201	-0.54382	-0.012836	-0.077935	0.077813	0.034533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.1748	-0.54248	-0.01306	-0.074694	0.099037	-0.016076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.17871	-0.54036	-0.01585	-0.071537	0.11607	-0.042506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.18083	-0.53779	-0.018752	-0.062635	0.12497	-0.034317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.18183	-0.53388	-0.021431	-0.052384	0.13074	0.0026525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.18094	-0.53087	-0.021654	-0.053508	0.14079	0.054682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.18049	-0.52908	-0.01931	-0.071998	0.15524	0.10697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.18183	-0.52719	-0.016297	-0.10114	0.17151	0.14019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.18373	-0.52484	-0.012725	-0.12528	0.18975	0.14057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.18764	-0.51971	-0.0091529	-0.12797	0.20641	0.11528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.19165	-0.51424	-0.0045765	-0.10588	0.21575	0.079203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.19545	-0.50955	-0.0022324	-0.069719	0.2135	0.040184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.19757	-0.50497	-0.0035719	-0.032745	0.20183	0.00065046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.19679	-0.50163	-0.0044648	-0.0022834	0.19058	-0.030416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.19478	-0.49794	-0.0055811	0.019342	0.18457	-0.034589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.1931	-0.49448	-0.0061392	0.027787	0.18229	-0.0037752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.19366	-0.49124	-0.0072554	0.022865	0.1795	0.047405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.19422	-0.48711	-0.0088181	0.012066	0.17178	0.09716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.19344	-0.48332	-0.0078135	0.0022828	0.15997	0.13141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
